1,"","","",Lucie lane,example.content2@joomlashine.com,New friend request from Laura Andersons,"",site/friends/request,1,"0","",2013-12-27 09:03:46,"{""requesterId"":""43"",""requesterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/43\/cf6dfd4b70fd071ee7d8ef31eac54d9a_large.jpg"",""requesterName"":""Laura Andersons"",""requesterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=43:democontent&Itemid=1395"",""requestDate"":""2013-12-27 09:03:46"",""totalFriends"":0,""totalMutualFriends"":""0"",""recipientName"":""Lucie lane"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/44\/df1d8050920db53a5a6a124b1eba671c_medium.jpg""}",2
2,"","","",Matt Dommer,example.content1@joomlashine.com,New friend request from Laura Andersons,"",site/friends/request,1,"0","",2013-12-27 09:03:49,"{""requesterId"":""43"",""requesterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/43\/cf6dfd4b70fd071ee7d8ef31eac54d9a_large.jpg"",""requesterName"":""Laura Andersons"",""requesterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=43:democontent&Itemid=1395"",""requestDate"":""2013-12-27 09:03:49"",""totalFriends"":0,""totalMutualFriends"":""0"",""recipientName"":""Matt Dommer"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/45\/58d9b491913cd973442b62c863f4d87c_medium.jpg""}",2
3,"","","",Johny Mastermind,example.content3@joomlashine.com,New friend request from Laura Andersons,"",site/friends/request,1,"0","",2013-12-27 09:03:50,"{""requesterId"":""43"",""requesterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/43\/cf6dfd4b70fd071ee7d8ef31eac54d9a_large.jpg"",""requesterName"":""Laura Andersons"",""requesterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=43:democontent&Itemid=1395"",""requestDate"":""2013-12-27 09:03:50"",""totalFriends"":0,""totalMutualFriends"":""0"",""recipientName"":""Johny Mastermind"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/46\/6a05baca5d873ef4a4ce67e5b0ed8216_medium.jpg""}",2
4,"","","",Laura Andersons,example.content@joomlashine.com,Matt Dommer has approved your friend request,"",site/friends/accepted,1,"0","",2013-12-27 09:14:52,"{""friendId"":""45"",""friendAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/45\/5411edb0cac61849fa2fb9d76e3ae359_large.jpg"",""friendName"":""Matt Dommer"",""friendLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=45:admin1&Itemid=1395"",""friendDate"":""2013-12-27 09:14:52"",""totalFriends"":1,""totalMutualFriends"":""0"",""recipientName"":""Laura Andersons"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/43\/f11f3ccee889ba584b5d37a5695d8afa_medium.jpg""}",2
5,"","","",Lucie lane,example.content2@joomlashine.com,EasyAdmin posted on your timeline,"",site/profile/post.story,1,"0","",2013-12-27 09:56:54,"{""posterName"":""EasyAdmin"",""posterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/9a8343e9bf5584bb40547b50510ec8ef_medium.jpg"",""posterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=42:demoadmin&Itemid=1395"",""recipientName"":""Lucie lane"",""permalink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=stream&layout=item&id=26&Itemid=1395"",""content"":""Hi Lucie, what's about this Friday night?"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/44\/df1d8050920db53a5a6a124b1eba671c_medium.jpg""}",2
6,"","","",Lucie lane,example.content2@joomlashine.com,New friend request from EasyAdmin,"",site/friends/request,1,"0","",2013-12-27 09:57:03,"{""requesterId"":""42"",""requesterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/bd39f3775121678746c7f46fb43b57ef_large.jpg"",""requesterName"":""EasyAdmin"",""requesterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=42:demoadmin&Itemid=1395"",""requestDate"":""2013-12-27 09:57:03"",""totalFriends"":0,""totalMutualFriends"":""0"",""recipientName"":""Lucie lane"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/44\/df1d8050920db53a5a6a124b1eba671c_medium.jpg""}",2
7,"","","",EasyAdmin,example.admin@joomlashine.com,EasyAdmin commented on your status,"",site/comments/new.comment.story.owner,1,"0","",2013-12-27 09:57:23,"{""posterName"":""EasyAdmin"",""posterAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/909a57637d0988e23a5eeaad08f0cb27_square.jpg"",""posterLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=42:demoadmin&Itemid=1395"",""comment"":""Just give me a date <3"",""permalink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=stream&id=26&layout=item&Itemid=1395"",""recipientName"":""EasyAdmin"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/9a8343e9bf5584bb40547b50510ec8ef_medium.jpg""}",2
8,"","","",Lucie lane,example.content2@joomlashine.com,EasyAdmin is following you.,"",site/profile/alerts.followed,1,"0","",2013-12-27 09:58:47,"{""follower"":""EasyAdmin"",""name"":""Lucie lane"",""followerAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/bd39f3775121678746c7f46fb43b57ef_large.jpg"",""followerLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=42:demoadmin&Itemid=1395"",""followerTotalFriends"":0,""followerTotalFollowers"":""0"",""followerTotalFollowing"":""1""}",2
9,"","","",Laura Andersons,example.content@joomlashine.com,Lucie lane has approved your friend request,"",site/friends/accepted,1,"0","",2013-12-27 09:59:22,"{""friendId"":""44"",""friendAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/44\/1ef702ba2f7d5bc7b3fc7221f2c085a1_large.jpg"",""friendName"":""Lucie lane"",""friendLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=44:admin2&Itemid=1395"",""friendDate"":""2013-12-27 09:59:22"",""totalFriends"":1,""totalMutualFriends"":""0"",""recipientName"":""Laura Andersons"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/43\/f11f3ccee889ba584b5d37a5695d8afa_medium.jpg""}",2
10,"","","",EasyAdmin,example.admin@joomlashine.com,Lucie lane has approved your friend request,"",site/friends/accepted,1,"0","",2013-12-27 09:59:23,"{""friendId"":""44"",""friendAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/44\/1ef702ba2f7d5bc7b3fc7221f2c085a1_large.jpg"",""friendName"":""Lucie lane"",""friendLink"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/index.php?option=com_easysocial&view=profile&id=44:admin2&Itemid=1395"",""friendDate"":""2013-12-27 09:59:23"",""totalFriends"":2,""totalMutualFriends"":""0"",""recipientName"":""EasyAdmin"",""recipientAvatar"":""http:\/\/rc.joomlashine.com\/demo\/joomla-templates\/jsn_blank\/j25\/pro\/media\/com_easysocial\/avatars\/users\/42\/9a8343e9bf5584bb40547b50510ec8ef_medium.jpg""}",2
